Date,Confirmed,Deaths,Recovered
1/23/20,654,18,30
1/24/20,941,26,36
1/25/20,1434,42,39
1/26/20,2118,56,52
1/27/20,2927,82,61
1/28/20,5578,131,107
1/29/20,6166,133,126
1/30/20,8234,171,143
1/31/20,9927,213,222
2/1/20,12038,259,284
2/2/20,16787,362,472
2/3/20,19881,426,623
2/4/20,23892,492,852
2/5/20,27635,564,1124
2/6/20,30794,634,1487
2/7/20,34391,719,2011
2/8/20,37120,806,2616
2/9/20,40150,906,3244
2/10/20,42762,1013,3946
2/11/20,44802,1113,4683
2/12/20,45221,1118,5150
2/13/20,60368,1371,6295
2/14/20,66885,1523,8058
2/15/20,69030,1666,9395
2/16/20,71224,1770,10865
2/17/20,73258,1868,12583
2/18/20,75136,2007,14352
2/19/20,75639,2122,16121
2/20/20,76197,2247,18177
2/21/20,76819,2251,18890
2/22/20,78572,2458,22886
2/23/20,78958,2469,23394
2/24/20,79525,2629,25227
2/25/20,80372,2708,27905
2/26/20,81346,2770,30384
2/27/20,82704,2814,33277
2/28/20,84070,2872,36711
2/29/20,85967,2941,39782
3/1/20,88325,2996,42716
3/2/20,90262,3085,45602
3/3/20,92795,3160,48228
3/4/20,95075,3254,51170
3/5/20,97844,3347,53796
3/6/20,101761,3459,55865
3/7/20,105782,3558,58359
3/8/20,109754,3801,60694
3/9/20,113536,3987,62493
3/10/20,118375,4263,64404
3/11/20,125704,4610,67002
3/12/20,130909,4913,68323
3/13/20,145204,5411,70250
3/14/20,156283,5831,72621
3/15/20,167022,6471,76031
3/16/20,181452,7151,78085
3/17/20,196917,7957,80837
3/18/20,216161,8852,83320
3/19/20,243084,9958,84957
3/20/20,272698,11439,87402
3/21/20,304844,13141,91666
3/22/20,337597,14840,97881
3/23/20,378381,16758,98346
3/24/20,418569,19026,107985
3/25/20,468155,21799,113768
3/26/20,530138,24800,122133
3/27/20,594178,28308,130902
3/28/20,661544,31990,139396
3/29/20,720695,35456,148863
3/30/20,783580,39604,164300
3/31/20,858317,44440,177786
4/1/20,933905,49968,192876
4/2/20,1014713,56251,209917
4/3/20,1097193,62213,225364
4/4/20,1177447,68044,245777
4/5/20,1251123,73031,259616
4/6/20,1322598,78862,276249
4/7/20,1397537,86765,299637
4/8/20,1481490,93457,328353
4/9/20,1567423,101043,353689
4/10/20,1659674,108286,375508
4/11/20,1737813,114307,401755
4/12/20,1836615,120007,421158
4/13/20,1906692,125730,448324
4/14/20,1977287,132621,473417
4/15/20,2057584,140886,510084
4/16/20,2153578,148157,540912
4/17/20,2242537,157022,567032
4/18/20,2316073,163452,590955
4/19/20,2398423,167983,622609
4/20/20,2472264,173381,644611
4/21/20,2546905,180475,679438
4/22/20,2622750,187174,709867
4/23/20,2711635,193926,738658
4/24/20,2799064,200266,788691
4/25/20,2884420,206459,816470
4/26/20,2958352,210192,845073
4/27/20,3027215,214747,872876
4/28/20,3101078,221109,906142
4/29/20,3176596,227992,948310
4/30/20,3261450,233687,1013281
5/1/20,3349915,238942,1051512
5/2/20,3432050,244129,1092429
5/3/20,3511157,247797,1124752
5/4/20,3587874,251890,1158816
5/5/20,3668635,257612,1195421
5/6/20,3760836,264196,1241339
5/7/20,3851895,269905,1280836
5/8/20,3945002,275250,1317358
5/9/20,4030363,279661,1370907
5/10/20,4108270,283086,1404501
5/11/20,4184838,286697,1451495
5/12/20,4268247,292319,1488530
5/13/20,4353211,297539,1544372
5/14/20,4451126,302813,1584107
5/15/20,4548549,307998,1632096
5/16/20,4641727,312150,1688687
5/17/20,4721968,315546,1729573
5/18/20,4810315,318853,1782471
5/19/20,4906193,323662,1834636
5/20/20,5005761,328483,1893549
5/21/20,5112366,333292,1944814
5/22/20,5220585,338585,2053465
5/23/20,5321022,342565,2108436
5/24/20,5417354,345412,2163876
5/25/20,5504324,346583,2227599
5/26/20,5599216,350807,2282813
5/27/20,5702113,355990,2346206
5/28/20,5820253,360686,2413063
5/29/20,5941938,365380,2490390
5/30/20,6070884,369492,2560862
5/31/20,6178860,372373,2637170
6/1/20,6275246,375902,2692065
6/2/20,6387849,380599,2796188
6/3/20,6519164,386298,2875330
6/4/20,6642853,391472,2945359
6/5/20,6776126,396294,3014515
6/6/20,6902650,400107,3086717
6/7/20,7015739,402856,3141810
6/8/20,7119355,406600,3293408
6/9/20,7242692,411461,3375668
6/10/20,7376333,416670,3454807
6/11/20,7514724,421461,3540696
6/12/20,7644260,425780,3620412
6/13/20,7778881,430047,3706353
6/14/20,7912426,433391,3777131
6/15/20,8034461,436899,3857338
6/16/20,8173940,443685,3955169
6/17/20,8349950,448959,4073955
