Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,0,0,0
3/21/20,0,0,0
3/22/20,0,0,0
3/23/20,0,0,0
3/24/20,0,0,0
3/25/20,0,0,0
3/26/20,0,0,0
3/27/20,0,0,0
3/28/20,0,0,0
3/29/20,0,0,0
3/30/20,0,0,0
3/31/20,0,0,0
4/1/20,0,0,0
4/2/20,0,0,0
4/3/20,0,0,0
4/4/20,0,0,0
4/5/20,0,0,0
4/6/20,0,0,0
4/7/20,0,0,0
4/8/20,0,0,0
4/9/20,0,0,0
4/10/20,1,0,0
4/11/20,1,0,0
4/12/20,1,0,0
4/13/20,1,0,0
4/14/20,1,0,0
4/15/20,1,0,0
4/16/20,1,0,0
4/17/20,1,0,0
4/18/20,1,0,0
4/19/20,1,0,0
4/20/20,1,0,0
4/21/20,1,0,0
4/22/20,1,0,0
4/23/20,1,0,0
4/24/20,1,0,1
4/25/20,1,0,1
4/26/20,1,0,1
4/27/20,1,0,1
4/28/20,1,0,1
4/29/20,6,0,1
4/30/20,6,2,1
5/1/20,7,2,1
5/2/20,10,2,1
5/3/20,10,2,1
5/4/20,12,2,1
5/5/20,22,4,1
5/6/20,25,5,1
5/7/20,25,5,1
5/8/20,34,7,1
5/9/20,34,7,1
5/10/20,51,8,1
5/11/20,56,9,1
5/12/20,65,10,1
5/13/20,70,12,1
5/14/20,85,12,1
5/15/20,106,15,1
5/16/20,122,18,1
5/17/20,128,20,1
5/18/20,130,20,1
5/19/20,167,28,5
5/20/20,184,30,5
5/21/20,197,33,5
5/22/20,209,33,11
5/23/20,212,39,11
5/24/20,222,42,10
5/25/20,233,44,10
5/26/20,249,49,10
5/27/20,256,53,10
5/28/20,278,57,11
5/29/20,283,65,11
5/30/20,310,77,13
5/31/20,323,80,14
6/1/20,354,84,14
6/2/20,399,87,15
6/3/20,419,95,17
6/4/20,453,103,17
6/5/20,469,111,23
6/6/20,482,111,23
6/7/20,484,112,23
6/8/20,496,112,23
6/9/20,524,127,23
6/10/20,560,129,23
6/11/20,591,136,23
6/12/20,632,139,28
6/13/20,705,160,39
6/14/20,728,164,53
6/15/20,844,208,79
6/16/20,885,214,91
6/17/20,902,244,271
