Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,2,0,0
3/19/20,2,0,0
3/20/20,2,0,0
3/21/20,2,0,0
3/22/20,3,0,0
3/23/20,3,0,0
3/24/20,3,0,0
3/25/20,12,0,0
3/26/20,16,0,0
3/27/20,22,0,0
3/28/20,28,0,0
3/29/20,29,0,0
3/30/20,35,0,0
3/31/20,35,0,0
4/1/20,36,0,0
4/2/20,39,1,0
4/3/20,39,1,2
4/4/20,39,1,2
4/5/20,39,1,3
4/6/20,39,1,5
4/7/20,39,1,7
4/8/20,39,1,7
4/9/20,39,1,24
4/10/20,40,2,25
4/11/20,40,2,28
4/12/20,43,2,30
4/13/20,45,2,30
4/14/20,45,2,30
4/15/20,48,2,30
4/16/20,48,2,30
4/17/20,52,2,30
4/18/20,57,2,33
4/19/20,61,3,33
4/20/20,65,3,35
4/21/20,70,3,35
4/22/20,74,3,35
4/23/20,76,3,37
4/24/20,84,3,37
4/25/20,84,3,37
4/26/20,88,3,42
4/27/20,88,3,42
4/28/20,95,3,42
4/29/20,97,3,54
4/30/20,106,3,55
5/1/20,109,3,74
5/2/20,119,3,75
5/3/20,124,3,78
5/4/20,137,3,78
5/5/20,138,3,92
5/6/20,146,4,101
5/7/20,153,4,103
5/8/20,167,4,111
5/9/20,252,7,112
5/10/20,267,7,117
5/11/20,267,7,117
5/12/20,441,7,117
5/13/20,446,7,124
5/14/20,654,7,124
5/15/20,654,7,124
5/16/20,679,7,183
5/17/20,753,7,188
5/18/20,761,7,192
5/19/20,772,7,192
5/20/20,832,7,197
5/21/20,866,7,302
5/22/20,920,7,336
5/23/20,920,7,336
5/24/20,920,7,336
5/25/20,920,7,336
5/26/20,920,7,336
5/27/20,1057,7,779
5/28/20,1057,7,779
5/29/20,1057,7,779
5/30/20,1057,7,779
5/31/20,1057,7,779
6/1/20,1089,7,912
6/2/20,1089,7,912
6/3/20,1089,7,912
6/4/20,1089,7,912
6/5/20,1089,7,912
6/6/20,1089,7,912
6/7/20,1089,7,912
6/8/20,1200,10,912
6/9/20,1200,10,912
6/10/20,1200,10,912
6/11/20,1200,10,912
6/12/20,1321,10,1104
6/13/20,1357,10,1104
6/14/20,1358,11,1122
6/15/20,1382,11,1142
6/16/20,1405,11,1142
6/17/20,1412,11,1142
