Date,Confirmed,Deaths,Recovered
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,0,0,0
3/6/20,0,0,0
3/7/20,0,0,0
3/8/20,0,0,0
3/9/20,0,0,0
3/10/20,0,0,0
3/11/20,0,0,0
3/12/20,0,0,0
3/13/20,0,0,0
3/14/20,0,0,0
3/15/20,0,0,0
3/16/20,0,0,0
3/17/20,0,0,0
3/18/20,0,0,0
3/19/20,0,0,0
3/20/20,1,0,0
3/21/20,3,0,0
3/22/20,3,0,0
3/23/20,3,1,0
3/24/20,3,1,0
3/25/20,3,1,0
3/26/20,3,1,0
3/27/20,5,1,0
3/28/20,7,1,0
3/29/20,7,1,0
3/30/20,7,1,0
3/31/20,8,1,0
4/1/20,8,1,0
4/2/20,9,1,0
4/3/20,9,1,0
4/4/20,9,1,0
4/5/20,9,1,0
4/6/20,10,1,0
4/7/20,11,2,0
4/8/20,11,3,0
4/9/20,11,3,0
4/10/20,13,3,0
4/11/20,14,3,0
4/12/20,14,3,0
4/13/20,17,3,0
4/14/20,17,3,0
4/15/20,23,3,1
4/16/20,23,3,1
4/17/20,24,3,2
4/18/20,25,3,2
4/19/20,25,3,2
4/20/20,25,3,2
4/21/20,28,3,2
4/22/20,28,4,2
4/23/20,28,4,2
4/24/20,29,4,2
4/25/20,31,4,2
4/26/20,31,4,2
4/27/20,32,4,5
4/28/20,32,4,5
4/29/20,32,4,5
4/30/20,40,4,5
5/1/20,40,4,5
5/2/20,34,4,5
5/3/20,34,4,5
5/4/20,34,4,5
5/5/20,34,4,5
5/6/20,34,4,5
5/7/20,34,4,5
5/8/20,34,4,9
5/9/20,35,4,9
5/10/20,36,4,9
5/11/20,36,4,9
5/12/20,36,4,9
5/13/20,37,4,12
5/14/20,37,4,13
5/15/20,42,4,13
5/16/20,42,4,13
5/17/20,44,4,17
5/18/20,46,4,18
5/19/20,46,4,18
5/20/20,48,4,18
5/21/20,51,4,18
5/22/20,51,4,18
5/23/20,56,4,18
5/24/20,56,4,25
5/25/20,56,4,25
5/26/20,56,4,25
5/27/20,132,4,25
5/28/20,149,4,28
5/29/20,149,4,28
5/30/20,174,4,29
5/31/20,178,4,29
6/1/20,203,4,29
6/2/20,206,4,29
6/3/20,222,4,29
6/4/20,237,4,31
6/5/20,265,4,33
6/6/20,279,4,33
6/7/20,282,4,34
6/8/20,287,4,46
6/9/20,314,4,46
6/10/20,320,4,49
6/11/20,332,4,51
6/12/20,343,4,51
6/13/20,356,4,54
6/14/20,383,4,54
6/15/20,387,4,54
6/16/20,391,4,62
6/17/20,401,4,63
